,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
132,14.634236000000001,4.316582905746968,-20.125010384876184,5.432603391040107,3.8309093558661065,15.672450137197773,130.0,198.3943661971831,231.0
133,282.997268,18.98218408586364,9.363123430885201,25.78870615285991,15.856149050678159,81.2581712500128,48.0,147.18281136198107,253.0
134,58.536944000000005,8.633165811493935,47.05549716692291,11.79891122438733,7.039510497245383,33.725059146347704,70.0,186.9718309859155,255.0
135,394.299908,22.406209749777773,52.14377046247312,34.04089037224771,20.93040307402035,134.66378644819304,32.0,144.44485101934134,255.0
136,152.938072,13.954454527710983,31.628149259600306,16.746088394303104,13.455917504254083,59.9201712500128,45.0,159.24932614555257,255.0
137,201.78756400000003,16.028846063287823,80.12840024606037,19.285746280366908,18.44615036833565,78.67659490855188,48.0,165.81103166496425,255.0
138,95.84394,11.04682282519387,-61.01777762810068,11.529836304429205,10.723536371480593,37.3570591463477,60.0,112.96129032258065,169.0
139,105.737508,11.602981364604126,61.49504291699003,12.318262541901968,11.798976479618734,41.89705914634771,62.0,195.86939571150097,255.0
140,185.710516,15.37705995450275,27.480738634073507,17.60307375202504,13.576487061196596,54.20622420733017,40.0,87.64816870144284,118.0
141,42.047664000000005,7.316881068360828,-85.1926043112738,9.041830940362496,6.067197652358577,25.520794359760778,142.0,223.59313725490196,254.0
142,93.164432,10.891310251075858,84.16612320524257,14.82450305202904,8.322431439897835,40.457165060982476,49.0,151.0995575221239,225.0
143,25.352268000000002,5.681505976968064,-79.55776921126373,6.412159840331125,5.286958982732121,19.852476615856464,128.0,176.609756097561,216.0
144,167.366192,14.597851009862302,19.547438323854223,16.479640002338225,13.077588530881926,48.739323932934624,39.0,91.79926108374384,151.0
145,32.772444,6.459657241558458,-79.03475209383818,9.050626696711278,5.216428857256694,24.674556051832543,135.0,198.9245283018868,252.0
146,250.224824,17.84926163714332,-69.73883804521299,20.437383400575857,16.624145443058847,68.01427716464755,41.0,135.81054365733112,201.0
147,19.374904,4.966779031550275,35.18955224947612,5.228536441220731,4.8376605225133344,15.546158871952155,155.0,219.51063829787233,253.0
148,33.184676,6.500157056750544,-62.72483997843228,8.062024871251152,5.734786397088694,24.220556051832546,108.0,192.85093167701862,238.0
149,27.413428000000003,5.90794893227338,-71.83151338301609,9.53276306501826,4.130763855481909,23.76655605183255,119.0,203.1203007518797,245.0
150,235.59058800000003,17.3194472489456,70.04566468850706,21.493768035631213,15.399900498094304,71.61401237806064,50.0,164.25459317585302,255.0
151,93.98889600000001,10.939395739856959,58.4212676418265,20.351151757341228,6.940738651010247,50.775641676838944,76.0,182.53508771929825,255.0
152,51.322884,8.08370740803102,-56.905636757744475,9.579294503226656,7.676206908665908,32.89495323171293,77.0,171.47791164658634,242.0
153,513.2288400000001,25.562927347754123,-30.108069533322855,48.883448035809394,16.126192797176422,156.99321629576244,59.0,182.83132530120483,255.0
154,52.353464,8.164465730754753,74.2797336026672,9.996554968642066,6.966337927567136,30.044661966467316,145.0,232.38976377952756,255.0
155,26.176732,5.773149082981867,1.1330457658444921,8.38383923203833,4.0542495778901895,19.930370701221698,161.0,239.99212598425197,255.0
156,38.955924,7.042742572215571,81.00436882319903,7.9568205934860465,6.603454134296516,24.752450137197773,85.0,167.97354497354496,227.0
157,74.61399200000001,9.746870533917699,-56.60336908374011,16.51434314410269,6.786280091139234,41.475323932934636,108.0,179.87845303867402,255.0
158,204.673188,16.143047937382036,89.7472390548435,21.581560415711934,13.77289898026262,64.817376890252,50.0,173.42497482376638,255.0
159,172.10686,14.803150342822248,-60.437694754479075,16.43562567634865,15.481808613206702,61.89195942074325,57.0,152.52694610778443,223.0
160,56.88801600000001,8.510703354760208,6.26436449876391,12.494541475469024,6.793786922425225,37.37319153964117,96.0,154.44202898550725,211.0
161,75.02622400000001,9.773758503715873,48.92388685208546,12.330737730647153,8.1875922837784,36.18311210366509,74.0,153.01373626373626,225.0
162,34.833604,6.659693844197716,-69.75115875821437,8.604554545157539,5.200570447405929,22.232635487808622,101.0,201.6153846153846,251.0
163,7.214060000000001,3.030713854868544,84.79627985703489,8.017957940591966,2.328582398054852,12.02431774390431,74.0,153.2,181.0
164,39.986504000000004,7.135292436089131,85.8194213040873,9.508566952858525,5.731560668208656,25.974794359760775,87.0,186.3041237113402,255.0
165,72.55283200000001,9.611302449976629,26.368079510665044,10.431814614318586,9.588897246564649,33.61490027439555,66.0,133.13636363636363,173.0
166,60.391988000000005,8.768892022757004,64.47494464064175,10.06338133033293,7.79899621622777,29.982900274395547,71.0,150.62798634812287,194.0
167,263.82848,18.328034639954446,3.6008188600594107,38.95492741072093,18.78539755371307,125.58378644819305,49.0,166.88125,255.0
168,109.447596,11.804787473876775,74.8427537150428,13.291005789886006,10.644042730339496,41.47532393293463,55.0,136.53483992467042,200.0
169,90.484924,10.733544775103693,75.62565286177636,12.028648246209668,10.677333584060618,45.23361519818024,49.0,118.56492027334852,181.0
170,220.75023600000003,16.765080673376428,6.376587834548152,26.6094004655581,15.696156655934944,85.34693913111487,38.0,152.73015873015873,252.0
171,177.465876,15.031851887384562,-21.079028747625696,23.298556081463925,10.675331601755056,63.59780054879109,77.0,189.65040650406505,255.0
172,75.02622400000001,9.773758503715873,24.550196132320917,10.457626038622466,10.113526703128022,40.817138582323786,73.0,178.3956043956044,255.0
173,139.952764,13.348909825142565,4.431940833966265,13.861866700170403,12.98117475022876,44.84137689025201,48.0,99.85272459499264,160.0
174,104.706928,11.546298165963734,89.10945721941943,15.58847779276763,10.694092322782865,51.073853506108485,68.0,166.86811023622047,255.0
175,207.14658000000003,16.240296093749215,-48.57427653807346,19.980971576074833,14.732811199839334,68.4521447713541,33.0,96.74825870646767,194.0
176,72.96506400000001,9.638568610998835,-69.80781477045522,11.30720960138088,8.275407322967753,32.17500618903032,67.0,168.26553672316385,254.0
177,154.999232,14.04817253545741,-2.338060491644395,28.21058437511596,8.427432637033814,67.38558871952156,70.0,186.41489361702128,255.0
178,59.155292,8.678643733600062,-83.4169868298807,10.509753403778191,7.37283996299575,29.49663548780862,63.0,150.81184668989548,207.0
179,167.366192,14.597851009862302,80.75073551820586,15.635006633245212,13.88463326036435,53.34385350610848,33.0,87.80418719211822,126.0
